		Unique Networks

input : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_Expression.txt
class : /raid/ccsb/eddy-analysis/2020-12-4-PPMI/data/COVID19-preprocess/GBApPD_vs_GBApUnaffected/GBApPD_vs_GBApUnaffected_ClassFile.txt
geneset : REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER


network 1 (0)	 number of edges : 66
------------------------------

POLR3C - POLR3F
POLR3A - SNAPC5
POLR3A - POLR3F
LZTS1 - SNAPC5
LZTS1 - POLR3F
LZTS1 - POLR3C
POLR3H - SNAPC5
POLR3H - POLR3F
POLR3H - POLR3C
POLR1D - SNAPC5
POLR1D - POLR3F
POLR1D - POLR3C
POLR3K - SNAPC5
POLR3K - POLR3F
POLR3K - LZTS1
POLR2E - SNAPC5
POLR2E - POLR3F
POLR2E - POLR3C
POLR2F - LZTS1
POLR2F - POLR3H
POLR2F - POLR1D
POLR2H - POLR3F
POLR2H - LZTS1
POLR2H - POLR3H
POLR2K - SNAPC5
POLR2K - POLR3F
POLR2K - POLR3C
POU2F1 - SNAPC5
POU2F1 - POLR3F
POU2F1 - POLR3C
BRF2 - POLR3F
BRF2 - LZTS1
BRF2 - POLR3H
POLR3B - POLR3F
POLR3B - POLR3A
POLR3B - LZTS1
POLR3E - SNAPC5
POLR3E - POLR3F
POLR3E - LZTS1
POLR3D - SNAPC5
POLR3D - POLR3F
POLR3D - POLR3C
SNAPC1 - SNAPC5
SNAPC1 - POLR3F
SNAPC1 - POLR3C
SNAPC2 - SNAPC5
SNAPC2 - POLR3F
SNAPC2 - POLR3C
SNAPC3 - POLR3A
SNAPC3 - LZTS1
SNAPC3 - POLR3H
SNAPC4 - SNAPC5
SNAPC4 - POLR3F
SNAPC4 - POLR3C
TBP - SNAPC5
TBP - POLR3F
TBP - POLR3C
ZNF143 - POLR3F
ZNF143 - POLR3C
ZNF143 - POLR3A
POLR3GL - POLR3C
POLR3GL - POLR3A
POLR3GL - LZTS1
POLR1C - POLR3H
POLR1C - POLR1D
POLR1C - POLR2E


network 2 (10)	 number of edges : 66
------------------------------

POLR3C - POLR3F
POLR3A - SNAPC5
POLR3A - POLR3F
LZTS1 - SNAPC5
LZTS1 - POLR3F
LZTS1 - POLR3C
POLR3H - SNAPC5
POLR3H - POLR3F
POLR3H - POLR3C
POLR1D - SNAPC5
POLR1D - POLR3F
POLR1D - POLR3C
POLR3K - SNAPC5
POLR3K - POLR3F
POLR3K - LZTS1
POLR2E - SNAPC5
POLR2E - POLR3F
POLR2E - POLR3C
POLR2F - LZTS1
POLR2F - POLR3H
POLR2F - POLR1D
POLR2H - LZTS1
POLR2H - POLR3H
POLR2H - POLR1D
POLR2K - SNAPC5
POLR2K - POLR3F
POLR2K - POLR3C
POU2F1 - SNAPC5
POU2F1 - POLR3F
POU2F1 - POLR3C
BRF2 - POLR3F
BRF2 - LZTS1
BRF2 - POLR3H
POLR3B - POLR3F
POLR3B - POLR3A
POLR3B - LZTS1
POLR3E - SNAPC5
POLR3E - POLR3F
POLR3E - LZTS1
POLR3D - SNAPC5
POLR3D - POLR3F
POLR3D - POLR3C
SNAPC1 - SNAPC5
SNAPC1 - POLR3F
SNAPC1 - POLR3C
SNAPC2 - SNAPC5
SNAPC2 - POLR3F
SNAPC2 - POLR3C
SNAPC3 - POLR3A
SNAPC3 - LZTS1
SNAPC3 - POLR3H
SNAPC4 - SNAPC5
SNAPC4 - POLR3F
SNAPC4 - POLR3C
TBP - SNAPC5
TBP - POLR3F
TBP - POLR3C
ZNF143 - POLR3F
ZNF143 - POLR3C
ZNF143 - POLR3A
POLR3GL - POLR3C
POLR3GL - POLR3A
POLR3GL - LZTS1
POLR1C - POLR3H
POLR1C - POLR1D
POLR1C - POLR2E


network 3 (304)	 number of edges : 65
------------------------------

POLR3A - SNAPC5
POLR3A - POLR3F
LZTS1 - SNAPC5
LZTS1 - POLR3F
LZTS1 - POLR3C
POLR3H - SNAPC5
POLR3H - POLR3F
POLR3H - POLR3C
POLR1D - SNAPC5
POLR1D - POLR3F
POLR1D - POLR3C
POLR3K - SNAPC5
POLR3K - POLR3F
POLR3K - POLR3C
POLR2E - SNAPC5
POLR2E - POLR3F
POLR2E - POLR3C
POLR2F - SNAPC5
POLR2F - POLR3F
POLR2F - POLR3C
POLR2H - POLR3A
POLR2H - LZTS1
POLR2H - POLR3H
POLR2K - SNAPC5
POLR2K - POLR3F
POLR2K - POLR3C
POU2F1 - SNAPC5
POU2F1 - POLR3F
POU2F1 - LZTS1
BRF2 - POLR3F
BRF2 - POLR3A
BRF2 - LZTS1
POLR3B - POLR3F
POLR3B - LZTS1
POLR3B - POLR3H
POLR3E - SNAPC5
POLR3E - POLR3F
POLR3E - LZTS1
POLR3D - SNAPC5
POLR3D - POLR3F
POLR3D - LZTS1
SNAPC1 - SNAPC5
SNAPC1 - POLR3F
SNAPC1 - POLR3C
SNAPC2 - SNAPC5
SNAPC2 - POLR3F
SNAPC2 - POLR3C
SNAPC3 - POLR3A
SNAPC3 - LZTS1
SNAPC3 - POLR3H
SNAPC4 - SNAPC5
SNAPC4 - POLR3F
SNAPC4 - POLR3C
TBP - SNAPC5
TBP - POLR3F
TBP - LZTS1
ZNF143 - POLR3A
ZNF143 - LZTS1
ZNF143 - POLR3H
POLR3GL - POLR3F
POLR3GL - POLR3C
POLR3GL - POLR3A
POLR1C - POLR3A
POLR1C - LZTS1
POLR1C - POLR3H


network 4 (305)	 number of edges : 65
------------------------------

POLR3A - SNAPC5
POLR3A - POLR3F
LZTS1 - SNAPC5
LZTS1 - POLR3F
LZTS1 - POLR3C
POLR3H - SNAPC5
POLR3H - POLR3F
POLR3H - POLR3C
POLR1D - SNAPC5
POLR1D - POLR3F
POLR1D - POLR3C
POLR3K - SNAPC5
POLR3K - POLR3F
POLR3K - POLR3C
POLR2E - SNAPC5
POLR2E - POLR3F
POLR2E - POLR3C
POLR2F - SNAPC5
POLR2F - POLR3F
POLR2F - POLR3C
POLR2H - POLR3A
POLR2H - LZTS1
POLR2H - POLR3H
POLR2K - SNAPC5
POLR2K - POLR3F
POLR2K - POLR3C
POU2F1 - SNAPC5
POU2F1 - POLR3F
POU2F1 - LZTS1
BRF2 - POLR3F
BRF2 - POLR3A
BRF2 - LZTS1
POLR3B - POLR3F
POLR3B - LZTS1
POLR3B - POLR3H
POLR3E - SNAPC5
POLR3E - POLR3F
POLR3E - LZTS1
POLR3D - SNAPC5
POLR3D - POLR3F
POLR3D - POLR3C
SNAPC1 - SNAPC5
SNAPC1 - POLR3F
SNAPC1 - POLR3C
SNAPC2 - SNAPC5
SNAPC2 - POLR3F
SNAPC2 - POLR3C
SNAPC3 - POLR3A
SNAPC3 - LZTS1
SNAPC3 - POLR3H
SNAPC4 - SNAPC5
SNAPC4 - POLR3F
SNAPC4 - POLR3C
TBP - SNAPC5
TBP - POLR3F
TBP - LZTS1
ZNF143 - POLR3A
ZNF143 - LZTS1
ZNF143 - POLR3H
POLR3GL - POLR3F
POLR3GL - POLR3C
POLR3GL - POLR3A
POLR1C - POLR3A
POLR1C - LZTS1
POLR1C - POLR3H


network 5 (309)	 number of edges : 65
------------------------------

POLR3A - SNAPC5
POLR3A - POLR3F
LZTS1 - SNAPC5
LZTS1 - POLR3F
LZTS1 - POLR3C
POLR3H - SNAPC5
POLR3H - POLR3F
POLR3H - POLR3C
POLR1D - SNAPC5
POLR1D - POLR3F
POLR1D - POLR3C
POLR3K - SNAPC5
POLR3K - POLR3F
POLR3K - POLR3C
POLR2E - SNAPC5
POLR2E - POLR3F
POLR2E - POLR3C
POLR2F - SNAPC5
POLR2F - POLR3F
POLR2F - POLR3C
POLR2H - POLR3A
POLR2H - LZTS1
POLR2H - POLR3H
POLR2K - SNAPC5
POLR2K - POLR3F
POLR2K - POLR3C
POU2F1 - SNAPC5
POU2F1 - POLR3F
POU2F1 - LZTS1
BRF2 - POLR3F
BRF2 - POLR3A
BRF2 - LZTS1
POLR3B - POLR3F
POLR3B - LZTS1
POLR3B - POLR3H
POLR3E - SNAPC5
POLR3E - POLR3F
POLR3E - LZTS1
POLR3D - SNAPC5
POLR3D - POLR3F
POLR3D - LZTS1
SNAPC1 - SNAPC5
SNAPC1 - POLR3F
SNAPC1 - POLR3C
SNAPC2 - SNAPC5
SNAPC2 - POLR3F
SNAPC2 - POLR3C
SNAPC3 - LZTS1
SNAPC3 - POLR3H
SNAPC3 - POLR1D
SNAPC4 - SNAPC5
SNAPC4 - POLR3F
SNAPC4 - POLR3C
TBP - SNAPC5
TBP - POLR3F
TBP - LZTS1
ZNF143 - POLR3A
ZNF143 - LZTS1
ZNF143 - POLR3H
POLR3GL - POLR3F
POLR3GL - POLR3C
POLR3GL - POLR3A
POLR1C - POLR3A
POLR1C - LZTS1
POLR1C - POLR3H


network 6 (320)	 number of edges : 65
------------------------------

POLR3A - SNAPC5
POLR3A - POLR3F
LZTS1 - SNAPC5
LZTS1 - POLR3F
LZTS1 - POLR3C
POLR3H - SNAPC5
POLR3H - POLR3F
POLR3H - POLR3C
POLR1D - SNAPC5
POLR1D - POLR3F
POLR1D - POLR3C
POLR3K - SNAPC5
POLR3K - POLR3F
POLR3K - POLR3C
POLR2E - SNAPC5
POLR2E - POLR3F
POLR2E - POLR3C
POLR2F - SNAPC5
POLR2F - POLR3F
POLR2F - POLR3C
POLR2H - POLR3A
POLR2H - LZTS1
POLR2H - POLR3H
POLR2K - SNAPC5
POLR2K - POLR3F
POLR2K - POLR3C
POU2F1 - SNAPC5
POU2F1 - POLR3F
POU2F1 - LZTS1
BRF2 - POLR3F
BRF2 - POLR3A
BRF2 - LZTS1
POLR3B - POLR3F
POLR3B - LZTS1
POLR3B - POLR3H
POLR3E - SNAPC5
POLR3E - POLR3F
POLR3E - LZTS1
POLR3D - SNAPC5
POLR3D - POLR3F
POLR3D - POLR3C
SNAPC1 - SNAPC5
SNAPC1 - POLR3F
SNAPC1 - POLR3C
SNAPC2 - SNAPC5
SNAPC2 - POLR3F
SNAPC2 - POLR3C
SNAPC3 - LZTS1
SNAPC3 - POLR3H
SNAPC3 - POLR1D
SNAPC4 - SNAPC5
SNAPC4 - POLR3F
SNAPC4 - POLR3C
TBP - SNAPC5
TBP - POLR3F
TBP - LZTS1
ZNF143 - POLR3A
ZNF143 - LZTS1
ZNF143 - POLR3H
POLR3GL - POLR3F
POLR3GL - POLR3C
POLR3GL - POLR3A
POLR1C - POLR3A
POLR1C - LZTS1
POLR1C - POLR3H


